位置,面积,朝向,格局,楼层
黄浦-五里桥-怡绿公寓,87㎡,南,2室2厅1卫,中楼层（7层）,8450元/月
徐汇-田林-田林三村,33㎡,南,1室1厅1卫,中楼层（6层）,4600元/月
黄浦-五里桥-桥一小区,47㎡,南,2室1厅1卫,高楼层（7层）,6650元/月
长宁-北新泾-新泾五村,57㎡,南,1室1厅1卫,中楼层（14层）,5500元/月
徐汇-康健-康健路100弄,38㎡,南,1室1厅1卫,中楼层（4层）,4400元/月
黄浦-蓬莱公园-中福浦江汇,51㎡,南,1室1厅1卫,高楼层（24层）,7990元/月
徐汇-康健-寿昌坊,39㎡,南,1室1厅1卫,中楼层（6层）,4200元/月
浦东-川沙-河滨小区,44㎡,南,1室1厅1卫,低楼层（6层）,3450元/月
长宁-中山公园-清宁小区,49㎡,南,2室1厅1卫,高楼层（6层）,6100元/月
闵行-老闵行-红旗三村,43㎡,南,1室1厅1卫,高楼层（6层）,2900元/月
黄浦-淮海中路-南昌路151弄,28㎡,南,1室1厅1卫,中楼层（5层）,5900元/月
黄浦-五里桥-百汇大厦,80㎡,南,2室1厅1卫,中楼层（23层）,9500元/月
黄浦-五里桥-蒙自路395弄,39㎡,南,1室1厅1卫,高楼层（7层）,5800元/月
徐汇-康健-钦州路111弄,35㎡,南,2室1厅1卫,低楼层（7层）,5000元/月
长宁-仙霞-虹古大楼,75㎡,南,2室1厅1卫,低楼层（24层）,6300元/月
长宁-仙霞-虹古大楼,74㎡,南,2室1厅1卫,低楼层（24层）,6200元/月
长宁-北新泾-淞虹苑,74㎡,南,2室1厅1卫,高楼层（6层）,7500元/月
长宁-西郊-金虹苑小区,65㎡,南,2室1厅1卫,高楼层（6层）,6800元/月
徐汇-徐家汇-南宜花苑,38㎡,南,1室1厅1卫,中楼层（7层）,4800元/月
徐汇-植物园-罗秀三村,52㎡,南,2室1厅1卫,中楼层（6层）,4600元/月
闵行-吴泾-新华小区（龙吴路5599弄）,52㎡,南,1室1厅1卫,高楼层（6层）,2800元/月
徐汇-斜土路-日晖一村,41㎡,南,1室1厅1卫,中楼层（5层）,5200元/月
